"product_name","product_price","source_website","brand","image_url","rating","original_price","saved_amount","description","how_to_use","ingredients"
"Sebum Solutions Toner","Rp118.902","Sociolla","Biyu","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/07607ae5-07a4-484e-903c-f794f92d8f61-.jpg","4.7","Rp156.450","-24%","Toner spray yang mengandung Niacinamide 4%, Zinc PCA, dan Allantoin dapat menenangkan kulit sensitif, meperbaiki skin barier, mencegah jerawat, dan mencerahkan. Suitable for : - Oily Skin - Combination Skin Benefits : - Mencegah jerawat - Membuat kulit tampak lebih cerah - Menyamarkan bekas jerawat - Mengontrol produksi minyak pada kulit - Menenangkan kulit sensitif dan melembabkan Highlights : - No Alcohol, No Fragrance, No Essential Oil, No Sulfates - Safe for Fungal-acne - Sensitive & Acne-prone skin friendly - Pregnancy friendly - Safe to use for age >12","",""
"Brush Cleanser Soap","Rp27.550","Sociolla","Jacquelle Beaute","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/577d3c6c-21a9-48c0-8b56-eea8223f462e-image-0-1618460055026","4.6","Rp29.000","-5%","Jacquelle Brush Cleanser Soap menghilangkan kotoran dan debu dari kuas makeup. Permukaan bergelombang yang didesain khusus membantu membersihkan kotoran pada brushkamu lebih cepat dan dengan lebih efisien. Jadikan makeup brush kamu seperti baru! Cruelty-free and vegan-friendly. Jacquelle Brush Cleanser Soap eliminates dirt and grime from your makeup brushes. The specially-made wavy surface helps to rid the dirt on your brush bristles faster and with more efficiency. Have your makeup brushes like new! Cruelty-free and vegan-friendly. KEMENKES RI PKD 20310220465.","",""
"Raspberry Souffle","Rp46.440","Sociolla","Careso","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/89005042699-1599551921742.png","4.5","Rp54.000","-14%","Body Fragrance: Aroma segar yang menarik dari souffle raspberry dengan sentuhan manis pir Doyenne du Comice. Inspirasi untuk aroma ini dihasilkan dari perpaduan aroma buah dan bunga Jasmine dan Rose.  Wangi tahan 6-8 Jam setelah pemakaian Penggunaan yang disarankan untuk hasil yang optimal: Semprotkan 3x di pergelangan tangan (kiri & kanan), 2x di leher dan semprotkan 4-5x di seluruh tubuh Anda. ulangi setiap 3 jam untuk mendapatkan dosis kebahagiaan ekstra. Alcohol Denat, Water, Fragrance (Cinnamal, rose ketones, Limonenes), Propylene Glycol, PEG-40 Hydrogenated Castor Oil. May contains: CI 77489, CI 77491, CI 77492, CI 77499","",""
"Sebum Solutions Toner","Rp118.902","Sociolla","Biyu","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/07607ae5-07a4-484e-903c-f794f92d8f61-.jpg","4.7","Rp156.450","-24%","Toner spray yang mengandung Niacinamide 4%, Zinc PCA, dan Allantoin dapat menenangkan kulit sensitif, meperbaiki skin barier, mencegah jerawat, dan mencerahkan. Suitable for : - Oily Skin - Combination Skin Benefits : - Mencegah jerawat - Membuat kulit tampak lebih cerah - Menyamarkan bekas jerawat - Mengontrol produksi minyak pada kulit - Menenangkan kulit sensitif dan melembabkan Highlights : - No Alcohol, No Fragrance, No Essential Oil, No Sulfates - Safe for Fungal-acne - Sensitive & Acne-prone skin friendly - Pregnancy friendly - Safe to use for age >12","",""
"Brush Cleanser Soap","Rp27.550","Sociolla","Jacquelle Beaute","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/577d3c6c-21a9-48c0-8b56-eea8223f462e-image-0-1618460055026","4.6","Rp29.000","-5%","Jacquelle Brush Cleanser Soap menghilangkan kotoran dan debu dari kuas makeup. Permukaan bergelombang yang didesain khusus membantu membersihkan kotoran pada brushkamu lebih cepat dan dengan lebih efisien. Jadikan makeup brush kamu seperti baru! Cruelty-free and vegan-friendly. Jacquelle Brush Cleanser Soap eliminates dirt and grime from your makeup brushes. The specially-made wavy surface helps to rid the dirt on your brush bristles faster and with more efficiency. Have your makeup brushes like new! Cruelty-free and vegan-friendly. KEMENKES RI PKD 20310220465.","",""
"Raspberry Souffle","Rp46.440","Sociolla","Careso","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/89005042699-1599551921742.png","4.5","Rp54.000","-14%","Body Fragrance: Aroma segar yang menarik dari souffle raspberry dengan sentuhan manis pir Doyenne du Comice. Inspirasi untuk aroma ini dihasilkan dari perpaduan aroma buah dan bunga Jasmine dan Rose.  Wangi tahan 6-8 Jam setelah pemakaian Penggunaan yang disarankan untuk hasil yang optimal: Semprotkan 3x di pergelangan tangan (kiri & kanan), 2x di leher dan semprotkan 4-5x di seluruh tubuh Anda. ulangi setiap 3 jam untuk mendapatkan dosis kebahagiaan ekstra. Alcohol Denat, Water, Fragrance (Cinnamal, rose ketones, Limonenes), Propylene Glycol, PEG-40 Hydrogenated Castor Oil. May contains: CI 77489, CI 77491, CI 77492, CI 77499","",""
"Sebum Solutions Toner","Rp118.902","Sociolla","Biyu","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/07607ae5-07a4-484e-903c-f794f92d8f61-.jpg","4.7","Rp156.450","-24%","Toner spray yang mengandung Niacinamide 4%, Zinc PCA, dan Allantoin dapat menenangkan kulit sensitif, meperbaiki skin barier, mencegah jerawat, dan mencerahkan. Suitable for : - Oily Skin - Combination Skin Benefits : - Mencegah jerawat - Membuat kulit tampak lebih cerah - Menyamarkan bekas jerawat - Mengontrol produksi minyak pada kulit - Menenangkan kulit sensitif dan melembabkan Highlights : - No Alcohol, No Fragrance, No Essential Oil, No Sulfates - Safe for Fungal-acne - Sensitive & Acne-prone skin friendly - Pregnancy friendly - Safe to use for age >12","",""
"Brush Cleanser Soap","Rp27.550","Sociolla","Jacquelle Beaute","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/577d3c6c-21a9-48c0-8b56-eea8223f462e-image-0-1618460055026","4.6","Rp29.000","-5%","Jacquelle Brush Cleanser Soap menghilangkan kotoran dan debu dari kuas makeup. Permukaan bergelombang yang didesain khusus membantu membersihkan kotoran pada brushkamu lebih cepat dan dengan lebih efisien. Jadikan makeup brush kamu seperti baru! Cruelty-free and vegan-friendly. Jacquelle Brush Cleanser Soap eliminates dirt and grime from your makeup brushes. The specially-made wavy surface helps to rid the dirt on your brush bristles faster and with more efficiency. Have your makeup brushes like new! Cruelty-free and vegan-friendly. KEMENKES RI PKD 20310220465.","",""
"Raspberry Souffle","Rp46.440","Sociolla","Careso","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/89005042699-1599551921742.png","4.5","Rp54.000","-14%","Body Fragrance: Aroma segar yang menarik dari souffle raspberry dengan sentuhan manis pir Doyenne du Comice. Inspirasi untuk aroma ini dihasilkan dari perpaduan aroma buah dan bunga Jasmine dan Rose.  Wangi tahan 6-8 Jam setelah pemakaian Penggunaan yang disarankan untuk hasil yang optimal: Semprotkan 3x di pergelangan tangan (kiri & kanan), 2x di leher dan semprotkan 4-5x di seluruh tubuh Anda. ulangi setiap 3 jam untuk mendapatkan dosis kebahagiaan ekstra. Alcohol Denat, Water, Fragrance (Cinnamal, rose ketones, Limonenes), Propylene Glycol, PEG-40 Hydrogenated Castor Oil. May contains: CI 77489, CI 77491, CI 77492, CI 77499","",""
