"product_name","product_price","source_website","brand","image_url","rating","original_price","saved_amount","description","how_to_use","ingredients"
"Extraordinary Oil Pink Hair Serum","Rp184.000","Sociolla","Loreal Paris","https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/1/6/6/5/6/16656-large_default.jpg","4.6","","","Extraordinary Oil dari LOreal Paris adalah serum perawatan rambut intensif. Rambut akan secara intensif ternutrisi, dan terlindungi, dan memberikan hasil rambut yang halus, lembut, tampak berkilau, tanpa memberikan hasil akhir yang lepek secara seketika. Rambut tampak sempurna, seketika! Menggunakan formula yang diperkaya dengan French Rose Oil, teresap hingga ke dalam batang rambut, merawat kelembaban sampai inti rambut dan memberikan kilau. BENEFIT: Lebih dari sekedar vitamin rambut High Shine Oil untuk kilau rambut memukau Teknologi Shine Sillicone untuk refleksi dari berbagai arah French Rose Oil untuk wangi French Rose yang tahan lama","",""
"ELSEVE Hyaluron Moisture Shampoo","Rp87.000","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/29d0cf1f-1689-4c00-ba79-71164fd8b144-.jpg","4.5","","","L'Oréal Paris Hyaluron Pure 72H* Purifying Shampoo, 72Jam Kurangi Produksi Minyak Berlebih. Shampoo ini menyeimbangkan tingkat kelembapan rambut secara ideal untuk rambut yang terasa lembut dan berkilau. Diperkaya dengan [Hyaluronic acid] + [Salicylic acid] diformulasikan secara khusus untuk membersihkan kulit kepala secara menyeluruh dari minyak dan kotoran, sekaligus menghidrasi batang rambut secara mendalam, menutrisi dari kulit kepala hingga ujung rambut. Rasakan kesegaran dan kilau alami yang tahan lama! Benefit: Membantu mengurangi produksi minyak berlebih untuk segala tipe rambut Membersihkan kulit kepala secara menyeluruh dari kotoran dan minyak Kulit k.. See More","",""
"ELSEVE Hyaluron Moisture Conditioner","Rp87.000","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/c15db868-2adf-4e76-9d56-89b7359e17a5-.jpg","4.5","","","Sains Tentang rambut dehidrasi: Ini merupakan tanda rambut kekurangan kadar kelembapan. L’Oreal laboratories telah mengembangkan kondisioner yang mengunci kelembapan selama 72 jam^ yang diperkaya dengan Hyaluronic Acid. Secara natural, Hyaluronic Acid ditemukan dalam tubuh manusia, molekul ini dikenal dapat menahan air lebih dari beratnya sendiri hingga 1000x yang membantu menjaga kelembapan rambut. Diperkaya dengan Hyaluronic Acid Seketika menghaluskan rambut dengan mengunci kelembapan selama 72 jam^. Lebih berkilau^^, 10x lebih lembap bervolume dan ringan tanpa membuatnya lepek *. Rekomendasi Rangkaian: 1. Sampo - Membersihkan dan menjaga kelembapan.. See More","",""
"Glycolic Bright Glowing Night Cream","Rp209.000","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/b1e2292a-8870-420a-9d06-e72ee2c99250-.jpg","4.8","","","L'OREAL PARIS GLYCOLIC-BRIGHT GLOWING NIGHT CREAM Glycolic-Bright Glowing Night Cream adalah pelembap malam yang dapat mencerahkan wajah kusam dalam semalam. Pelembap ini mengandung Brightening Glycolic Acid dan antioksidan Vitamin E dalam bentuk encapsulated beads yang dapat membantu melawan munculnya kulit kusam pada malam hari. Selain itu, teruji klinis membantu memperbaiki skin barrier dan menyamarkan noda hitam, sehingga wajah tampak lebih cerah dan glowing. Setelah menggunakan Glycolic-Bright Glowing Night Cream, kulit terasa lembap intensif dan lembut. Dengan penggunaan rutin selama berhari-hari, noda hitam di wajah pun pudar dan kulit tampak bercahaya. Dapa.. See More","",""
"Infallible 32H Matte Cover Foundation","Rp115.870 - Rp159.251","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/fa431dbc-d62e-4a5e-8459-374293b21d5e-.jpg","4.7","Rp222.000 - Rp229.900","UP TO Rp114.030","VIRAL FOUNDATION DENGAN FORMULA BARU L'Oreal Paris Infallible 32H Matte Cover Foundation dengan 4% NIACINAMIDE untuk hasil yang high coverage & merawat kulit sekaligus. FOUNDATION YANG MEMBERIKAN HASIL YANG FLAWLESS dengan kekuatan NIACINAMIDE Foundation ini memberikan hasil yang flawless untuk menutupi noda-noda pada kulit, seperti bekas jerawat, warna kulit tidak merata / hyperpigmentation, kemerahan dan kulit berminyak. Cocok untuk semua jenis & warna kulit, foundation ini dapat menjaga HIGH COVERAGE sekaligus hasil yang  TRANSFER-PROOF & SHINE-PROOF. Dengan 4% NIACINAMIDE, foundation ini dapat melawan masalah kulit (noda hitam, bekas jearawat, hy.. See More","",""
"Total Repair 5 Shampoo","Rp79.900 - Rp89.250","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/94718fed-cbeb-4428-9e4d-2e7224069a84-.jpg","4.6","Rp79.900 - Rp105.000","-Rp15.750","Total Repair 5 Shampoo dari L'Oreal Paris membantu melawan 5 tanda kerusakan rambut: rontok karena patah, kering, kusam, rapuh, dan bercabang . Mengandung Ceramide, replika bahan alami rambut yang akan membantu memperbaiki titik kerusakan pada rambut sekaligus merawat kekuatan batang rambut. Manfaat: 1. 5 masalah rambut, 1 solusi 2. Diformulasikan khusus untuk rambut dengan tanda kerusakan 3. Membantu melawan tanda-tanda kerusakan rambut 4. Rambut terasa lebih lembut dan berkilau indah 5. Memperbaiki rambut 10X* 6. Sebuah formula perawatan yang sangat sesuai dengan cuaca dan kondisi rambut Indonesia** Claim: *Berdasarkan uji konsumen menggunakan sh.. See More","",""
"Volume Lash Paradise","Rp204.500","Sociolla","Loreal Paris","https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/2/3/7/3/8/23738-large_default.jpg","4.7","","","Dapatkan Bulu Mata yang Tebal, Lentik dan Panjang. L'Oreal Paris Volume Lash Paradise merupakan Maskara yang tahan air, dapat menambah volume pada bulu mata, Memanjangkan bulu mata dari bagian belakang hingga depan diaplikasikan dengan bulu brush yang Lembut selembut sutra.","",""
"Excellence Fashion Cat Rambut","Rp167.112","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/50427265183-1587454100331.png","4.7","Rp189.900","-Rp22.788","Cat rambut permanen dari L'Oreal Paris dengan Triple Care Formula yang melindungi rambutmu sebelum, selama, dan sesudah proses pewarnaan. Kombinasi unik dari bahan aktif untuk perlindungan menyeluruh dan hasil tahan lama. L'Oreal Paris memperkenalkan varian terbaru dari Exclusive Fashion Colors yang terinspirasi dari kehidupan Paris yang glamor. Excellence Fashion memberikan Anda warna yang intense. Kondisionernya diperkaya dengan Shine Complex. Kandungan Ceramide, Amino Acid, dan Collagen membantu melindungi dan merawat kekuatan rambut. Rambut terasa lembut dan terlindungi dari rambut patah akibat penyisiran. Pewarna rambut yang melindungi rambut sebelum, saat, dan sesudah pewa.. See More","",""
"Unbelievabrow Longlasting Brow Gel","Rp205.900","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/0c4a00ae-8ad1-4bd5-89f5-3ce33f3cbc8f-image-0-1614051284524","4.5","","","BARU! Brow gel dari L'Oreal Paris yang berfungsi untuk mengisi dan menebalkan alis, dengan formula yang waterproof, smudgeproof, sweatproof, dan transferproof, untuk hasil alis yang tebal dan natural seharian tanpa perlu touch up. Dilengkapi dengan angled brush & spoolie untuk aplikasi yang mudah.","",""
"ELSEVE Hyaluron Moisture Hydra Filling Night Cream","Rp72.900","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/b5d2080e-93e1-4172-9a96-550d2d074fa9-.jpg","4.5","","","PERAWATAN RAMBUT MALAM HARI DENGAN HYALURONIC ACID PERTAMA*. Dapatkan perawatan rambut yang intensif di malam hari dengan formula yang diperkaya dengan Hyaluronic Acid, seketika menghidrasi rambut dan mengunci kelembapannya selama Anda tertidur tanpa membuatnya lepek. Rasakan sensasi rambut lebih lembut, mudah diatur dan tidak kusut ketika Anda bangun di pagi hari. 4x lebih melembapkan rambut** RAHASIA DIBALIK KRIM MALAM YANG MELEMBAPKAN DENGAN OVERNIGHT TECHNOLOGY Gesekan rambut dengan bantal selama Anda tertidur dapat menyebabkan rambut kusut dan cenderung kering. L’Oreal Paris telah mengembangkan overnight technology yang dapat melindungi permukaan rambut dari pergeseka.. See More","",""
